fips,county,water_violation,particulate_matter,uninsured,life_exp,years_lost,limited_healthyfood,food_insec,severe_housing,rent_costburden,housing_costburden,housing_afford,homelessness,eviction,resid_vacancy,crime_rate,vehicle_avail,commute_time,commute_alone,commute_long,access_finance_insurance,access_bankingcredit,access_childcare,access_broadband,r1_univ,r1and2_univ,rd_density,cc_density,csu
06021,Glenn,0,7.2,9.6,78.117924944,7335.7779208,3.5679583203,13.3,21,47.3,35.8,4.7,42.656916514320535,1.65636588380717,8.7,419,4.831785963861435,21.8,77,31.6,1.0036921532781302,0.6088707788862349,0.30600000000000005,29.74942597584107,0,0,0.0,0.1405086412814388,0
06023,Humboldt,1,6.0,9.7,76.929637287,8952.8219231,6.1924808289,18.2,26,62.0,46.3,6.52,65.77396735607802,1.50553505535055,13.6,332,7.616046584480439,18.1,72,16.5,1.1195568911672855,0.6238414373306717,0.19599999999999995,19.05577975565261,0,0,0.05155854104059866,0.017824041066590617,1
06025,Imperial,1,10.3,9.3,82.025233622,5655.2385912,9.2047670666,14.5,28,55.6,36.6,4.11,47.88698006836241,1.81985910768199,23.3,311,7.3586490228567545,22.0,81,20.7,0.7491010787055533,0.47776525302895706,0.29300000000000004,26.336337017954015,0,0,0.027744484396501977,0.007465082078577454,0
06027,Inyo,1,5.8,6.4,78.678207737,6345.4262708,12.191861939,13.0,20,50.5,37.6,4.7,40.36494332319602,0.892857142857143,15.3,474,6.829147593715204,16.3,69,12.9,0.7188277578103401,0.6054490413723511,0.236,22.21947296795744,0,0,0.0,0.20181634712411706,0
06029,Kern,1,13.9,9.0,77.567703439,7592.548046,5.3756534862,13.4,26,54.1,34.3,4.01,54.651306320232194,3.99141593612344,9.4,555,6.823483742856823,23.3,79,24.3,0.7190961357925288,0.4196281849243214,0.18300000000000005,23.46843938144099,0,0,0.016986522892736902,0.007657448630005866,1
06031,Kings,1,13.5,8.2,79.852829929,5966.7521692,4.8646786614,13.8,25,49.0,29.799999999999997,3.73,101.48259203731467,2.32376106844088,6.7,478,6.388206388206388,22.9,76,23.6,0.5197401299350325,0.3613130645516634,0.21399999999999997,22.878202878202877,0,0,0.0,0.05287508261731659,0
06033,Lake,1,5.5,9.5,74.54281292,11667.0154,8.8417960189,17.9,27,59.3,45.2,4.66,14.341834507700941,2.64934018333837,26.0,539,6.858969421551259,30.4,73,38.8,0.7638585770405937,0.42040090959469534,0.25,27.52830624663021,0,0,0.0,0.057327396762913,0
06035,Lassen,0,7.1,5.7,78.56888775,6416.0018743,7.298171514,16.1,18,49.1,25.3,3.6,28.081266176504272,2.3268546400219,25.6,401,5.89908353523649,20.8,79,18.1,0.7696007696007696,0.44878267698866825,0.273,23.564731907721477,0,0,0.0,0.0747971128314447,0
06037,Los Angeles,1,14.4,10.8,82.209686808,4946.1516978,1.6477953981,12.2,34,58.3,44.0,8.57,73.59043110492995,2.308048648782,6.2,424,9.024626834747433,31.3,73,47.1,1.303914854072845,0.6121877109478336,0.22199999999999998,18.12151383998531,3,7,0.060209632511300196,0.0029574285553035443,5
06039,Madera,1,11.8,9.4,79.300780739,6592.1142681,9.3803740661,12.0,26,56.400000000000006,34.9,4.36,68.05880797094437,2.0891364902507,11.1,616,5.976451663352622,27.1,77,35.5,0.625753969021953,0.4010546884999701,0.17500000000000004,23.521526396925758,0,0,0.0,0.051198470872336616,0
06041,Marin,0,7.6,4.0,85.112363832,3447.6744813,1.7059318675,11.5,24,52.3,39.3,8.64,50.86536429820012,0.828962950431399,6.7,185,4.8737388132018475,32.5,66,42.6,2.700781805259417,0.8498011653074543,0.46799999999999997,9.606870736666098,0,0,0.14214641080312723,0.009390068124944247,0
06043,Mariposa,0,8.0,4.9,79.121425346,7338.7497819,6.1266594144,15.8,19,54.2,39.5,5.65,58.865450399087806,1.38996138996139,25.9,419,3.2207792207792205,28.7,67,41.9,0.28506271379703535,0.1997469871496105,0.236,22.337662337662337,0,0,0.0,0.0,0
06045,Mendocino,1,5.8,9.3,78.970362272,8000.3013339,6.7593618027,15.2,28,58.5,48.5,7.34,66.68801903411041,1.40568813337692,16.7,510,6.271633910237606,20.1,74,21.0,0.8922239253277208,0.4502919862098079,0.25,21.762980346142562,0,0,0.0,0.04221487370716949,0
06047,Merced,1,10.4,8.7,78.579732506,6748.6621226,7.3323667342,13.9,26,52.400000000000006,35.5,4.71,33.41075908204032,2.41782848612481,6.1,614,7.287139160364797,27.4,77,28.3,0.6392269813249094,0.4596423881200121,0.18300000000000005,20.656734417003744,0,1,0.01114930781380656,0.015153045762198203,0
06049,Modoc,0,6.2,12.3,76.697712866,10390.745127,11.697977278,16.5,17,38.7,45.0,3.09,97.9765367771633,1.09729334308705,30.5,671,3.989071038251366,15.5,69,15.7,0.895054822107854,0.5384304751648943,0.273,31.612021857923494,0,0,0.0,0.26921523758244714,0
06051,Mono,1,5.4,16.6,90.03446823,3933.4704666,15.060295666,10.5,21,36.3,43.4,5.02,51.50275151686186,0.609059763989341,65.6,254,2.6201774293377347,15.9,45,20.8,0.4938620008466206,0.33889689062102857,0.236,16.009903032803795,0,0,0.0,0.5083453359315427,0
06053,Monterey,1,7.6,11.2,82.347760386,5066.5515903,3.4736811245,9.9,31,55.7,40.8,7.27,28.935024883890566,1.29791086562895,10.7,425,4.747247167835496,22.7,71,27.7,0.9071770865072989,0.4528301886792453,0.23199999999999998,19.544315044584774,0,0,0.041550095565219804,0.012075471698113207,1
06055,Napa,1,7.5,6.5,81.51551754,4382.8514641,2.319240102,9.7,24,54.0,36.9,7.18,66.39151782537537,1.20967741935484,11.7,341,5.004894762604014,24.9,76,30.5,1.4445314167793355,0.6725536951148146,0.247,12.738619676945667,0,0,0.04981142816480467,0.00873446357291967,0
06057,Nevada,1,6.7,7.8,81.411090958,5913.6125693,6.7728049527,14.3,23,56.6,45.7,6.52,74.42578613813426,1.42901522211867,23.8,332,4.129180520242519,24.8,76,28.0,1.3825535865660195,0.5461301926889789,0.33699999999999997,15.560825347154312,0,0,0.060549792112380416,0.011872395493238671,0
06059,Orange,0,10.9,8.4,83.100659739,4094.3629575,0.8911392135,10.1,28,57.099999999999994,39.7,7.53,38.01298408245796,1.7402196224918,5.4,204,4.395698066493408,27.7,79,39.7,2.075101874670926,0.9042232544945215,0.265,10.641405770976188,1,3,0.10776876930593751,0.003545973547037339,1
06061,Placer,1,8.7,4.7,82.027305407,4740.8561038,3.0248215663,12.3,20,52.5,35.0,5.26,19.40396288120565,1.56169014084507,13.1,176,3.8425718571601224,27.4,79,38.5,2.1653507052518304,0.9650545222980115,0.31599999999999995,11.57961339674821,0,0,0.039465687216011486,0.02297748862614313,0
06063,Plumas,1,8.8,3.5,78.600318056,9548.6050922,2.3366251543,17.6,21,48.900000000000006,36.8,4.38,46.83214534008694,1.65005156411138,49.0,503,5.62942711569529,19.9,78,30.9,1.1230547088079577,0.6255864873318737,0.273,23.63613769106499,0,0,0.0,0.06255864873318737,0
06065,Riverside,1,15.4,10.0,80.868572121,5587.4210996,6.8481932673,10.0,27,59.1,40.599999999999994,5.22,30.05514235387612,3.75986293866039,13.8,283,4.275498399802881,33.3,77,45.3,0.7955402750656028,0.4320003733872574,0.18400000000000005,15.63905566792743,1,1,0.017203138859540987,0.004341712295349321,0
06067,Sacramento,1,9.9,6.3,79.559081145,6240.3360832,4.4226307989,16.3,24,54.7,33.3,5.24,71.90618950837172,3.28085736632774,5.5,523,7.024060265396089,27.4,77,35.6,1.2847486429014658,0.5451308524683811,0.264,14.428137283617119,0,0,0.031787595288283683,0.005055309296461031,1
06069,San Benito,1,7.7,7.4,81.723605128,4752.1158624,3.1299286389,6.1,27,48.6,40.8,6.34,210.97010906153224,1.58706393172631,4.7,382,2.3900789177001127,35.3,80,47.6,0.7573717517167093,0.41598248494800216,0.23199999999999998,11.713641488162345,0,0,0.05049145011444729,0.10946907498631638,0
06071,San Bernardino,1,14.2,9.4,78.820438842,6562.4666813,8.004312443,10.6,28,58.5,38.6,5.18,35.72142718996279,4.47740460560261,11.9,409,5.102809399444685,31.4,78,41.0,0.7783037754289217,0.45807395253960864,0.16300000000000003,18.58910015809512,0,2,0.0159219785587144,0.0067544416594312266,1
06073,San Diego,1,11.6,8.7,82.203997564,4658.1893905,3.0744401635,12.3,26,57.0,40.0,7.14,46.00293142281187,1.66865424854772,7.1,349,5.494825644783642,26.0,76,34.2,1.5035577033413436,0.6620896286426221,0.30000000000000004,11.419596418166545,1,3,0.2558409704638412,0.00301120922634507,2
06075,San Francisco,0,8.2,4.4,83.545295329,4568.8082733,0.3219526811,16.0,27,38.6,38.1,9.76,65.01970015309571,1.19486909154806,8.7,793,30.57443844825717,33.3,35,49.7,2.715954595399773,0.8619855228288822,0.42400000000000004,14.103366113108295,0,1,0.2815949538184276,0.0013080205202259214,1
06077,San Joaquin,1,9.7,7.5,78.376094762,7156.0309739,4.7694055595,13.9,27,55.5,34.4,5.31,148.0991843892206,3.32862139769081,5.9,780,6.3733035765480075,33.2,77,35.0,0.7852916914773317,0.4749512858899738,0.22499999999999998,19.978211681890556,0,0,0.010925797446641137,0.005417695276311489,0
06079,San Luis Obispo,1,8.7,7.5,81.46124409,5326.4225449,4.4539683506,13.4,24,54.2,41.3,7.81,64.02444440496704,0.973881262257087,13.0,379,4.326936771841203,22.2,74,25.0,1.488692686219822,0.6502801694106519,0.362,13.675854800269663,0,0,0.06040041924996891,0.008445197005333142,1
06081,San Mateo,1,8.1,4.8,84.478949775,3552.4944375,1.0998050694,9.8,24,49.0,37.2,8.88,57.40696012063687,1.04844164628753,5.2,228,5.358649305833897,28.8,69,38.1,1.7168558689706046,0.6057334194535223,0.27,10.422607255056896,0,0,0.48176411836513544,0.004820159836500178,0
06083,Santa Barbara,1,8.0,10.6,82.130262382,4854.6894658,3.1294548622,10.3,30,57.3,38.1,7.74,60.283320337676734,1.20327914408781,7.2,333,5.554559125839875,19.8,68,17.6,1.3994744646615795,0.5796612077213124,0.20799999999999996,14.57761344352313,1,1,0.14197567032798633,0.005627778715740897,0
06085,Santa Clara,1,8.8,4.8,84.384876712,3621.6544721,0.992586698,10.5,24,47.2,35.099999999999994,7.93,55.00468213505358,0.94070724956592,4.5,254,5.1366980055859335,28.7,76,38.3,1.2589740921860368,0.5458138872227506,0.31499999999999995,9.393965618976436,1,1,0.33035063989179064,0.005204423239311091,1
06087,Santa Cruz,1,7.9,6.2,82.558803145,5108.3272322,3.8017652577,12.6,27,61.2,40.0,9.2,72.21522108377623,0.88978120508316,9.6,394,5.465976022390242,27.0,69,37.7,1.0848720618048326,0.4684813690263101,0.30100000000000005,13.93646351142487,1,1,0.14245794750972549,0.013258906670555947,0
06089,Shasta,1,7.3,7.5,76.226081231,8811.0861999,8.7774895389,18.0,22,57.1,37.7,4.62,4.88993654250376,1.7676490997407,10.3,691,6.794091354135627,20.4,83,14.8,1.3401457408493174,0.6764545498471075,0.272,20.92290664509812,0,0,0.016751821760616466,0.006902597447419463,0
06091,Sierra,1,5.6,10.2,80.695494499,,27.847524081,16.1,16,62.4,38.3,4.44,298.87859580692344,1.21951219512195,48.2,380,5.398871877518131,28.1,69,43.9,,,0.33699999999999997,26.43029814665592,0,0,0.0,0.39370078740157477,0
06093,Siskiyou,1,6.6,7.0,76.228987124,9534.1354351,10.264737037,19.6,23,55.3,39.1,4.4,20.11286829844478,1.8989898989899,20.1,269,7.010437762891416,18.5,73,21.9,1.1713367018833256,0.7810102925999275,0.273,21.87256582022122,0,0,0.0,0.027893224735711694,0
06095,Solano,0,8.5,5.6,80.148903766,6346.8528998,3.3824649588,14.5,23,54.1,33.8,4.99,21.366839212824665,2.88239947717814,5.0,468,5.0587990635083555,32.6,77,40.1,0.8391672177502109,0.5183176888726876,0.21199999999999997,11.684007862236443,0,0,0.03192483980571455,0.0056957987788207425,1
06097,Sonoma,1,6.8,6.9,81.783352249,4720.2849108,4.0141330438,11.6,25,55.3,39.0,7.52,64.27071094736463,1.1685393258427,8.8,363,4.871157025229879,25.4,76,30.6,1.4302327668920065,0.6915360836249108,0.258,12.919155588653156,0,0,0.07779508773889575,0.004852884797367796,1
06099,Stanislaus,1,10.0,6.5,77.990349532,7148.4687337,4.8560837059,13.4,27,54.5,34.7,4.8,114.03650280641051,2.99814274343327,4.7,533,6.428000602263119,29.0,80,31.3,0.99573336596817,0.6163689995744119,0.16500000000000004,17.572184709465954,0,0,0.016688268703377147,0.004891817456939777,1
06101,Sutter,0,7.1,9.6,78.764214564,6684.0696037,10.822539923,15.8,24,50.099999999999994,33.9,4.73,0.31291722296395197,2.49672497495569,5.7,306,5.976514215080346,26.7,78,31.1,1.1890854472630172,0.6927559461552045,0.19599999999999995,18.133498145859086,0,0,0.04172229639519359,0.027166899849223707,0
06103,Tehama,1,7.3,7.3,77.556917635,7581.91279,9.8929138731,15.2,20,56.9,43.9,4.85,65.80089312483234,2.80631974367473,12.4,538,7.500520291363164,23.4,81,31.8,0.8047591245483092,0.559753708368318,0.30600000000000005,28.595213319458896,0,0,0.0,0.01999120387029707,0
06105,Trinity,1,5.6,11.3,76.150444587,10404.512145,7.4108434196,18.2,21,62.9,44.9,7.04,92.52060332763178,1.45161290322581,34.5,209,5.521048999309869,19.6,70,20.4,0.6219872492613902,0.3631411711302769,0.30600000000000005,32.608695652173914,0,0,0.0,0.18157058556513844,0
06107,Tulare,1,13.7,9.8,78.367923421,7224.8713177,7.9874672973,12.6,28,55.5,38.2,4.13,33.07439893849204,3.00460463113261,7.9,446,6.079085418717764,22.7,78,26.0,0.7774546828614676,0.48106266743235804,0.16200000000000003,27.32502608261208,0,0,0.017373289002490896,0.012026566685808952,0
06109,Tuolumne,1,7.6,5.7,78.486692652,7008.0574711,10.212922839,15.6,21,51.900000000000006,39.3,4.81,19.14447823184751,2.21238938053097,28.8,220,4.7041512462656625,26.9,80,26.5,1.001260846992509,0.521387760422324,0.236,21.402773442725287,0,0,0.0,0.04344898003519367,0
06111,Ventura,1,10.2,9.3,82.255987657,4711.9914243,3.2959010053,8.2,25,57.9,39.4,6.68,20.468994661082498,1.68994040736458,5.7,205,4.203136867409467,26.8,78,34.3,1.5622936593280135,0.6725650022170838,0.28300000000000003,13.515665902236512,0,0,0.08371535834889732,0.011903805348974932,1
06113,Yolo,1,8.7,5.9,81.256771697,5383.6180185,1.928249501,14.5,25,56.4,29.3,6.05,44.09774068853878,1.31157416281044,5.2,317,7.457488777037138,23.6,67,29.3,0.8652088362941152,0.49929410144278785,0.31399999999999995,13.485240103387294,1,1,0.2232796996888039,0.040173088621833504,0
06115,Yuba,1,8.0,8.0,75.314827104,8548.2575844,12.01933271,17.0,25,53.2,35.1,4.43,0.3973878372829269,3.27111272200072,7.7,387,7.074372588716146,30.4,77,41.4,0.4503728822539838,0.26506918305677785,0.19599999999999995,19.59203942090989,0,0,0.0,0.03534255774090371,0
